Human_vs_Wild_up	Human_vs_Lab_up
MetaB_M077	MetaB_M029
MetaB_M044	MetaB_M034
MetaB_M133	MetaB_M117
MetaB_M138	MetaB_M077
MetaB_M008	MetaB_M099
MetaB_M113	MetaB_M142
MetaB_M009	MetaB_M128
MetaB_M068	MetaB_M060
MetaB_M056	MetaB_M003
MetaB_M084	MetaB_M088
MetaB_M049	MetaB_M073
MetaB_M051	MetaB_M126
MetaB_M018	MetaB_M090
MetaB_M093	MetaB_M115
MetaB_M132	MetaB_M017
MetaB_M121	MetaB_M129
MetaB_M058	MetaB_M004
MetaB_M037	MetaB_M030
MetaB_M062	MetaB_M026
MetaB_M001	MetaB_M037
MetaB_M082	MetaB_M055
MetaB_M120	MetaB_M127
MetaB_M027	MetaB_M138
MetaB_M015	MetaB_M031
MetaB_M019	MetaB_M043
MetaB_M134	MetaB_M044
MetaB_M047	MetaB_M042
MetaB_M042	MetaB_M062
MetaB_M094	MetaB_M066
MetaB_M025	MetaB_M056
MetaB_M016	MetaB_M118
MetaB_M118	MetaB_M027
MetaB_M066	MetaB_M096
MetaB_M127	MetaB_M133
MetaB_M065	MetaB_M012
MetaB_M069	MetaB_M084
MetaB_M050	MetaB_M075
MetaB_M144	MetaB_M016
MetaB_M114	MetaB_M032
MetaB_M080	MetaB_M122
MetaB_M137	MetaB_M085
MetaB_M141	MetaB_M113
MetaB_M036	MetaB_M110
MetaB_M028	MetaB_M069
MetaB_M074	MetaB_M046
MetaB_M003	MetaB_M002
MetaB_M092	MetaB_M001
MetaB_M140	MetaB_M047
MetaB_M131	MetaB_M019
MetaB_M089	MetaB_M068
MetaB_M030	MetaB_M050
MetaB_M123	MetaB_M078
MetaB_M091	MetaB_M041
MetaB_M052	MetaB_M093
MetaB_M024	MetaB_M137
MetaB_M071	MetaB_M079
MetaB_M045	MetaB_M054
MetaB_M013	MetaB_M064
MetaB_M143	MetaB_M025
MetaB_M059	MetaB_M081
MetaB_M034	MetaB_M049
MetaB_M038	MetaB_M010
MetaB_M022	MetaB_M076
MetaB_M046	MetaB_M067
MetaB_M081	MetaB_M120
MetaB_M115	MetaB_M013
MetaB_M063	MetaB_M058
MetaB_M108	MetaB_M063
MetaB_M103	MetaB_M094
MetaB_M020	MetaB_M009
MetaB_M130	MetaB_M092
MetaB_M126	MetaB_M023
MetaB_M040	MetaB_M104
MetaB_M023	MetaB_M061
MetaB_M104	MetaB_M083
MetaB_M004	MetaB_M028
MetaB_M043	MetaB_M008
MetaB_M039	MetaB_M124
MetaB_M072	MetaB_M121
MetaB_M086	MetaB_M119
MetaB_M112	MetaB_M134
MetaB_M002	MetaB_M087
MetaB_M139	MetaB_M135
MetaB_M097	MetaB_M021
MetaB_M124	MetaB_M038
MetaB_M035	MetaB_M033
MetaB_M090	MetaB_M071
MetaB_M102	MetaB_M051
MetaB_M057	
